block_height,block_time,comment,validators_hash,computed_hash,proposer_address,total_vp,6A3CACEAEA586C9AF3051249D6FF34942835DF10,0DA35960AC73947F415949EDAF885E1A9A186370,9901CCDA42B948EDDC835FB5C8AB06730A9C23CD,F29C3DB00F73F75D84B7DFDC7787BF78A91C6A81,A3A9B9712869F224F4F1F3CB3DE5D039D6268F21,B5B358B6B17052E2E1A00B8ED78127FFDFF584AF,FC9402FF4B53B8B72624C7FB28DDE49797EF474B,9B2D81FF1268365847546044CBAD688382D6B664,54443EF34125BDBDF74D8E1FD1EC3857160EF3CC,7EEBC8E086DB6453F77954C44C94D6FB6F0A625E,DC00DA048EC40BF29530626601840B18F48AC8A5,0B8F81F6A82C6B3708D6192C2AD1B53209E04F6C,7B24FEE1E6153D765DD696B7DC3588A38A6DF57D,003E6F7A2FD88BAA3E2117945671FE0D994E171D,0385B199514F483871B7B801A923BF53977B2916,03EABFB8409C4F62A732A3D728ACAA2E13403F50,056EBA066FB6355FE6B81FDF375C1CDDF5BEBBC6,0E311E3634B0F6F5959F9394577233D6882625D0,103CC3FC5E90C04EE208BD0716DC889552926EF8,1501A996ED5577FC65D57F92ACC8E15CE6B7DFAD,16625311355C4993FDA69D218875CAEB783F66D5,1E3AFDD98E0E1AEB50E7E7BE7BB78B71AB9FE1BA,214752CFB2CD5CB00EC625739C224AA406226D0E,305013CCA69866DA942265649D56B57D4F2545CC,3558238D72FAC0A40B276D8F238CDF28BE16B4AA,361FD80BB7893C4B4104D0D7A8C931F362D170D8,3B9916B501C53E38015676282F14E2AAF025F6C5,3D42458DD811C921CDA2A080FB018CBBA2B91CFD,41AA5DF98BDB8A809B956A7925CF21FA905D08DD,42890EEA7E9B02890605135356D90B6433A47749,4D6E16E3F7D89E8D839F716893D6A1F81C9F956D,52479C885E73D2F570D47E5F0433785051350DD1,52EA1C24DA94C67A8FED7C46E18A1CFC476D5717,55EACF6E14726E13F973903614087867404DF2CA,59CC9F852235473DF57BCEF37C60F3A29DB36811,5A22861F57F12829B68A022FB805685A4E5850C3,5BED074FAD72B341DE26B43628F2FE0917AC1D63,5DEFF454EB30618FA2B978D9FF1C8B523311F1D1,60DFD976E9B748B1E1F06FD7B6809A370BD3A302,61DDA93355D0ED14AD0F01DF9657F1D922FD8A08,65185BC275EB9232A2DFF23BEB4EAA075BDAD3CE,66843E34B5A0CC0D4FFACE4C928D200753D4B9D3,671C08BB55C1C242DC5A342889CD8C0071893FF9,71F5F0A14FA5CA88122A26569B0C3A9E3C6E5CAF,76D9967474B62835E703A577101D1FD35F84D36B,79FA40E44DECB3893E3646B58AA13C7FE898BE91,7A6A631756F2B240CBDFA81DF654DABA599C0F33,7A74EB2298B26CC9F30C1C682A5C0DE209EE3687,7E060283BE404E1E80CE738DDCC6C12F9EDE0113,87AD83AC8C84ABE5D8890E4DFE407F17BCD42B4E,8A73C4B75E360FF191B844A61B8845A0AD65D208,8C7E66C0416A002CFCF1A99F88F33FCC8F599944,8F7B51C1E8520E0BFA894ED83213E45DEB10E156,95E3F1574DDB503F0380D98A976E0CF8469B874F,96884BE29D4D231AFB90D034748286D51A6BE943,97075D998C11771B38AAA0ACFBFDF09EED078BC9,98051EE9D111826D0A03BBDD0334C7C246FC4636,9C87B7B7B0E79B4BE81D72C6B68F7122BCB04EEC,A2E373DC0894BC0CD0F5C7A8ECF22F1F9E8F5579,AA77A443F849606A4A8EB1639752068C1A2EEA5E,ADA6B3B2DE3BB2686DBEF1543C309D10D23EC2CC,B59B63331FD2120C89BF2E7DD657E7F9AA090A1D,BACE01F066D7C3344AA194E1A1B6FBF6FE8EBE1C,C43B466D9C3A60859B66A48E0B54C662BC701FB5,C759989AB500EDF629C4CED1267CA30F660E4024,CA799C8A8079B5BAC07CBCF77C94CA050CB4CB80,CC05882978FC5FDD6A7721687E14C0299AE004B8,CD0DA85F510345EAECB73AEED6E3C2C65AD27E53,CDA3887D2F0865E84BAC9C8241D4B5FF39591D28,D02B29F69E6BFC3E241F38162E82EE4C78D8DDA9,D0639638EF73670D4813E9D034F4499667B3BE7E,D4686840675436000E9B33B8A58193B9406ADDA3,D5D3EB2E5E2360782FAFAB7C0B3C45BFFB1587AB,DB5EF3A174014515A046E80E3164E22414123614,DDF94D41B15E7A77122259D83B2BDCF474540337,E12D86AC279259CBB0CC1D2C5DA9FADE3FD8D24F,E1A48ED16EB660BE4F259E0E3A62B8BE56F41E36,E2CDB3113C0392603810E16929C86C013A46F540,E63597E3F46F3A8C82379A72D37FD7D280E832FA,E77FE2A0D7784F9CE575D35F09FBB33BB05CC9EB,EE50044D5EE07FA2C2CC94F1A81D2B6DADC103EB,F54306AE4536A8818B3BCB46D156403FCE944650,F6EBCC201A051C2106A6F0CD95A452C843BA4F14,F7DF9EF920DFBCDCA1F382151685A69500BAF630,F98B3014AF2F2A5C8852263D65A0B679FB799B8C,23D4A4484D4D868427369088C4D0A2E56DAAF465,3CC44C72DFD38D8538F1AC2443E540CCA730261C,57D2C0F208DE8B603DA6C9B75CD95C32597BE348,7B0DE97C082AE7911928004FE8B145AA1FF56038,9797557328079BB3D3E588DAD873F0EA6C098C10,FDE7B9EDA5E8D918BA04235FA304AA3CE82C04C1,4544EF788285E35826DB28EC62FD704554CC7156,B4775B0FEBDFE023D6E24748BDD0B39F8366A8DD,B45362A682176E95B35B2084405D4F50A77F9CCA,8951CFD2B94DE0CF7BFF747C367F85095B83EB28,92E7331517D289430B70AB407BF9FA797403A470,93F3ACB2D3DD657C069E80405D37CEFCE5DEB2AC,FD9B65D22E19A8A6D34E02491CCDA7F4D0C48BC5,BE4D9D67579D9E9ECFD32B39AB2EAF988FA7A956,279009E814C0F2CE0B21E565512DBF4DCE9923C3,6B1CC4FF7E65DDAEA347F0DBA0DE8911139D3241,D9448D1A507A0F792C25F4FEAE01DDBC4748CA82,6D9D14A2729BA5F02AF203ABAFD5CE8284DD2670,6406B7B10A978323E679E226F0D3546E0470B864,C96B7A46D3E26FADD6B8B9393D2EE0318AFBA7EE,BF4F4707754A93FC8B10B4CA1DF98A043B776ADF,F649FD83C9557B080DBA654B506634F8AD87555F,1221F0F28823F9D5239F0B2CB9575944AA23E61A,292B3711E4423C2F47B7BE58BF72EF2BD0770CF0,616BA35C85E60F6C7F5AE9E5FD0843378D130F8E,C56B6EDB0F598797F625C717A740658CFDE49F86,7149CA24B79EE0E073B9ED04C232A9E9753FBAC9,5DEF681F8F155ACB4939294C20DF4FF00E8680B4,1C4A305A101EDFB122E8C15289F036C98986FCDB
13041,2022/11/22 10:17:56,NEW_VALSET:PCHEIGHT/238048,473EE40CB730ADD12C002A255ED13CA380BEC7E6CC072588D973231881D4A221,26B8B9FE632DDE2B45ACF5E0D4FA2B5EB5AC194B2A69905638D1064C3AA738D2,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107105,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,60,61,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,60,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13118,2022/11/22 10:24:24,NEW_VALSET:PCHEIGHT/238125,68730D0077BFE99436D32FDB18B2C03E88D203A95777F67966F79A4BB2B7E33A,1483018666D2E27BF64F49F8187045625D49B4BC72BC502EDF9A08D62CB4A3E9,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107106,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,60,62,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,60,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13154,2022/11/22 10:27:26,NEW_VALSET:PCHEIGHT/238161,DCFDD516EFB6F22708A9A9970EAE847274E4D1BD86C78C34FEBE99F5E3A754E8,722D9F56D0D427E099A25E7C20405FDA4D77D1FEB0F7138868CED7D3FFFEE9D8,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107113,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,60,69,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,60,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13190,2022/11/22 10:30:28,NEW_VALSET:PCHEIGHT/238197,BA8315DC5D9012174DFFA2062430F6DD10A04256D02EF7EA942014724E400C70,F0A96A051481A35D69F57E7B8B34E71A1F1FB53DC33EFC11258F5A147562CFB1,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107114,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,60,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,60,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13262,2022/11/22 10:36:31,NEW_VALSET:PCHEIGHT/238269,2A7F8AE4264CB71268DCFC12A744602CB6C9ACE46BAF9B5B5BE63D74E14E3FF5,684CE911B200BE09C05B4D3B60EC6009A38482F1B79F377881EE100BCEA82431,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107115,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,61,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,60,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13298,2022/11/22 10:39:33,NEW_VALSET:PCHEIGHT/238305,6B54A38ACCDD4012AFDA59EAEBDB724D37E9A13EFCC60B2071C1D7792163A28E,ECBC476AB83D525E35E5F9815AD28C4234E10F6C26203BA21B74D97B86CD3003,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107116,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,62,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,60,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13334,2022/11/22 10:42:35,NEW_VALSET:PCHEIGHT/238341,94B1C26ECFE8DCE001F3FA53DC3326628B156B1DF2FC5A8F7709F9572897204C,ED1CE09CD5C75D008F863C5427E50E05B5CEFCE5C884D8AB7304058B70961E1F,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107123,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,69,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,60,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13370,2022/11/22 10:45:37,NEW_VALSET:PCHEIGHT/238377,5421B89AE2B682B91C06D6CDAAB5E1D6CFE65E97CDCE98462E1DB998A69C3F48,E2FD38AD170EEBBC721F5ECC0E305EE81D775C120652264178B01724EFA762E1,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107124,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,60,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13442,2022/11/22 10:51:40,NEW_VALSET:PCHEIGHT/238449,8DE988608EAA2196711338794EF718389427A12E6694D4534FE281F84C35A1F4,89041C2D40ACCA0A6EB4AA8733391B30BD506F63CEE5840B58C85EC0DE73FEB1,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107125,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,61,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13478,2022/11/22 10:54:42,NEW_VALSET:PCHEIGHT/238485,67E662A9C8BD04BB8FB9E156419A4E308A1BF0F33836C8AA981C740FC90AA3E9,88065AFA5CD7A6D2C02D49043ED06F64CA1D7EF186B9E40FABD2686C18C0001E,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107126,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,62,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13514,2022/11/22 10:57:44,NEW_VALSET:PCHEIGHT/238521,1CEA448EDBB8610F3932F9F001AE1810EE75AF699162339C5B1CD18D060DD364,E027048E5615BF03BC409B80BB20B2078C321C5DF7BAC4CC26DD9F9D8E8A550D,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107133,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,69,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13550,2022/11/22 11:00:46,NEW_VALSET:PCHEIGHT/238557,798A108C49D71106E12463BBD8B94F2E6304EC896CEB06EBC52F4DE98732157C,BDF24BDC0FA64D3BA4A0FFCCB4E75BF748A5EF3E5FAC358D6BA5792A41EEF07D,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107134,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
13619,2022/11/22 11:06:34,NEW_VALSET:PCHEIGHT/238626,0A2DEE495676C58EB8595442BDA9EB01B069DC20193ABDE6D59D58B8CA9EACC1,F927D9F5F09DDD8605490D41B074DA1A7A4049CC77554D1B74769C7A1366AA5A,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107145,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,60,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,11,0,0,0,0,0,0,0,0,0
13622,2022/11/22 11:06:49,NEW_VALSET:PCHEIGHT/238629,C1220BF0D89E5948C6BDF270B4448E62C4FE0856B5C6D8B7E1741AC578E80FCC,42F35EBF3C26B1E0390E2393AE7106BD49857919E82F3E783E3999DEDC15EF4C,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107146,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,61,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,11,0,0,0,0,0,0,0,0,0
13657,2022/11/22 11:09:46,NEW_VALSET:PCHEIGHT/238664,AF217758788202D28D42B2954D23EF86337249D30A9092AA565AEFCD2D78B1FE,47E7174974C8DD447EDD19076DACA6C4966AC1F85515030A2311EC0B49EEEF89,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107147,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,62,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,11,0,0,0,0,0,0,0,0,0
13693,2022/11/22 11:12:48,NEW_VALSET:PCHEIGHT/238700,4135EE82B919FF232571DEED14A86CC9BEB05861DEF530EB36D985BB0F55D382,472393C30A21F9AC245E92065764E26ACFCE4431AA79A95CF82FC6A71423DE58,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107154,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,69,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,11,0,0,0,0,0,0,0,0,0
13729,2022/11/22 11:15:50,NEW_VALSET:PCHEIGHT/238736,30C7A8B389B5D183EEAE4F0FAAFE001A30665C1A87E71ACEF4E25347670F3C22,639772EB8BD3CC4FF87A99CCDEDA22FC83A268FD88F98546B1347D8A93F1F89C,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107155,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,11,0,0,0,0,0,0,0,0,0
13800,2022/11/22 11:21:48,NEW_VALSET:PCHEIGHT/238808,B969A9F0C58422BCA05410BE6760C8CA4921D8620911B48E27F3FEB3FC6C2838,D078DF175FA4E544F6C44977463FD54B2CE628FFF6CC8944004A53022EDD2C8E,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107205,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,61,0,0,0,0,0,0,0,0,0
13836,2022/11/22 11:24:50,NEW_VALSET:PCHEIGHT/238844,53111515CB5CD8205907FB3A77C58761D4B4509F75B9EB7137FC48ADFC5F6B86,63824A68D90F136728596CA234BED6150FC0A9E3C50B8D761C4D5F4DC6D012ED,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107206,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,62,0,0,0,0,0,0,0,0,0
13872,2022/11/22 11:27:52,NEW_VALSET:PCHEIGHT/238880,E9712D7B23610511C73D7B6F23EECF004983DC89D7EA1C2BAED3495EBBD40C54,7CACB02F3A09D42BEB1F7BBCFE62116B753DF0D60D6CCE0BCDC7A2DED1E655AC,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107213,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,69,0,0,0,0,0,0,0,0,0
13908,2022/11/22 11:30:54,NEW_VALSET:PCHEIGHT/238916,E8069D6F3CEF5F09DEF2BFA4B7F675839AE64991FF889874B898FA984311C688,3C3862A5855CE2D2E4F743D9C2440A99B2B30CFA8885C3D98877C8344032B745,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107214,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0
13980,2022/11/22 11:36:58,NEW_VALSET:PCHEIGHT/238988,129367D8416B9D79050920E8BDCB37B107FF04038B4787177997D7AEA121329F,5D0F1FF5ED7A3D660F035F77F23AE971EFBF5B82BE89E5AC3D4D96C5C99DC7B9,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107215,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,61,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,0,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0
14010,2022/11/22 11:39:30,NEW_VALSET:PCHEIGHT/239018,6A90ABECF818517AE03DE97A70E0ABFCE52D07FC2C58881E6362C7C5D8F7C459,531A97E34B57D443C7588DF8767C8515986BF55A20AD89B4DD6F3E4A80683BC5,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107276,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,61,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,61,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0
14016,2022/11/22 11:40:00,NEW_VALSET:PCHEIGHT/239024,1E525D82B574A4D05604F491E454CB2669B7EC9A69B469A78AA355AB8A75E479,C8C857615821C90D9F7FCD0C5280AB87B75EBAD4803E30924CADF623B9CF5344,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107277,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,62,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,61,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0
14052,2022/11/22 11:43:02,NEW_VALSET:PCHEIGHT/239060,EFCD41F8931275AEECB96C29577808B43208BC2B9E81211D759B68C45AD0147A,4252CA68EF126ECE8C782ED6CCA93A650C410F6539BE0F20F65A85ED67448762,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107284,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,69,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,61,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0
14088,2022/11/22 11:46:04,NEW_VALSET:PCHEIGHT/239096,F0CD1DA41244FE76F590612C9036D4EAB519931320ACA0FBA2AD4D5DEAB07DAC,3FDC922B593B7E7ADC3D4972062467B1BF5D69A1B958E071367BA436DA3697B1,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107285,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,70,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,61,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0
14160,2022/11/22 11:52:08,NEW_VALSET:PCHEIGHT/239168,5CD8B75D7A27DD132F0A85966231ACD6A5DD13846DE20BAC6454603A6B9CA0C9,FBDAF9AB4B5AF6B0A8A16C5438F5D37BC3DF2BD67F0615F8BF1C112A63AB1DAD,6A3CACEAEA586C9AF3051249D6FF34942835DF10,670107286,670100004,784,418,310,300,142,104,95,78,77,69,68,61,60,60,60,60,60,60,70,60,60,60,60,0,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,60,60,0,60,60,60,60,60,60,60,60,60,60,61,70,70,0,69,70,70,70,70,70,70,88,0,0,70,70,70,0,70,0,70,70,61,70,70,70,70,0,70,0,69,69,70,70,70,69,70,70,60,0,0,0,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0
